Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,15/11/2017, G/TBT/N/CHN/1229,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Waste Electric Motors,"The standard regulates the environmental protection requirements of the imported waste electric motors, their carried-wastes and the radioactive pollution control.",Waste Electric Motors HS: 7404; ICS: 13.030.50.,13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"7404 - Waste and scrap, of copper (excl. ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",,,,,,
China,15/11/2017, G/TBT/N/CHN/1226,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Wood and Wood Articles Wastes,"The standard regulates the environmental protection requirements of the imported wood and wood articles wastes, their carried-wastes and the radioactive pollution control.","Wood and Wood Articles Wastes HS: 4401, 4501; ICS: 13.030.50",13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"4501 - Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered or ground cork; 4401 - Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",,,,,,
China,15/11/2017, G/TBT/N/CHN/1232,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Vessels and Other Floating Structures for Breaking up,"The standard regulates the environmental protection requirements of the imported vessels and other floating structures for Breaking up, their carried-wastes and the radioactive pollution control.",Vessels and Other Floating Structures for Breaking up HS: 8908; ICS: 13.030.50.,13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,8908 - Vessels and other floating structures for breaking up,,,,,,
China,15/11/2017, G/TBT/N/CHN/1224,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials—Smelt Slag,"The standard regulates the environmental protection requirements of the imported smelt slag, their carried-wastes and the radioactive pollution control.","Smelt Slag HS: 2618, 2619 ICS: 13.030.50",13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"2619 - Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag); 2618 - Granulated slag ""slag sand"" from the manufacture of iron or steel",,,,,,
China,15/11/2017, G/TBT/N/CHN/1225,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials—Waste and Scrap of Paper or Paperboard,"The standard regulates the environmental protection requirements of the imported waste and scrap of paper or paperboard, their carried-wastes and the radioactive pollution control.",Waste and scrap of paper or paperboard HS:4707 ICS: 13.030.50,13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"4707 - Recovered ""waste and scrap"" paper or paperboard (excl. paper wool)",,,,,,
China,15/11/2017, G/TBT/N/CHN/1227,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Waste and Scrap of Iron and Steel,"The standard regulates the environmental protection requirements of the imported waste and scrap of iron and steel, their carried-wastes and the radioactive pollution control.",Waste and scrap of iron and steel HS: 7204; ICS: 13.030.50.,13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"7204 - Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",,,,,,
China,15/11/2017, G/TBT/N/CHN/1233,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Waste and Scrap of Plastics,"The standard regulates the environmental protection requirements of the imported waste and scrap of plastics, their carried-wastes and the radioactive pollution control.",Waste and scrap of plastics HS: 3915; ICS: 13.030.50.,13.030.50 - Recycling,Protection of animal or plant life or health (TBT); Protection of human health or safety (TBT); Protection of the environment (TBT),,,15/12/2017,Regular notification,"3915 - Waste, parings and scrap, of plastics",,,,,,
China,15/11/2017, G/TBT/N/CHN/1228,Environmental Protection Control Standard for Imported Solid Wastes as Raw Materials — Nonferrous Metal Scraps,"The standard regulates the environmental protection requirements of the imported nonferrous metal scraps, their carried-wastes and the radioactive pollution control.","Waste Nonferrous Metal HS: 7112, 7404, 7503, 7602, 7902, 8002, 8103, 8101, 8104, 8106, 8108, 8109, 8112, 8113; ICS: 13.030.50.",13.030.50 - Recycling,Protection of human health or safety (TBT); Protection of the environment (TBT); Protection of animal or plant life or health (TBT),,,15/12/2017,Regular notification,"7112 - Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal (excl. waste and scrap melted down into unworked blocks, ingots, or similar forms); 7902 - Zinc waste and scrap (excl. ash and residues from zinc production ""heading 2620"", ingots and other similar unwrought shapes, of remelted waste and scrap, of zinc ""heading 7901"" and waste and scrap of primary cells, primary batteries and electric accumulators); 7503 - Waste and scrap, of nickel (excl. ingots or other similar unwrought shapes, of remelted nickel waste and scrap, ashes and residues containing nickel and waste and scrap of primary cells, primary batteries and electric accumulators); 7602 - Waste and scrap, of aluminium (excl. slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production); 8002 - Tin waste and scrap (excl. ash and residues from the manufacture of tin of heading 2620, and ingots and similar unwrought tin produced from melted tin waste and scrap of heading 8001); 8104 - Magnesium and articles thereof, n.e.s.; magnesium waste and scrap (excl. ash and residues containing magnesium); 8108 - Titanium and articles thereof, n.e.s.; titanium waste and scrap (excl. ash and residues containing titanium); 8103 - Tantalium and articles thereof, n.e.s.; tantalium waste and scrap (excl. ash and residues containing tantalium); 8113 - Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excl. ash and residues containing cermets); 8101 - Tungsten ""wolfram"" and articles thereof, n.e.s.; tungsten waste and scrap (excl. ash and residues containing tungsten); 8109 - Zirconium and articles thereof, n.e.s.; zirconium waste and scrap (excl. ash and residues containing zirconium); 7404 - Waste and scrap, of copper (excl. ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators); 8106 - Bismuth and articles thereof, n.e.s.; bismut waste and scrap (excl. ash and residues containing bismuth); 8112 - Beryllium, chromium, germanium, vanadium, gallium, hafnium ""celtium"", indium, niobium ""columbium"", rhenium and thallium, and articles of these metals, n.e.s.; waste and scrap of these metals (excl. ash and residues containing these metals)",,,,,,
China,08/11/2017, G/TBT/N/CHN/1223,Notice on Adjusting the Acceptance of Drug Registration (Draft),The adjustment to the acceptance of drug registration is: all the procedures shall now be handled by China Food and Drug Administration instead of the former mode in which the application shall be accepted by provincial Food and Drug Administration and be appraised and approved by China Food and Drug Administration,Drugs ICS: 11.120.10 HS：30,11.120.10 - Medicaments,Protection of human health or safety (TBT),,,07/01/2018,Regular notification,30 - PHARMACEUTICAL PRODUCTS,,,,,,
China,03/11/2017, G/TBT/N/CHN/1221,Administrative Measures for Drug Standards (Draft),"Thesemeasures are formulated to standardize the formulationrevision and release as well asstrengthen the implementation and supervision of drug standards. These measures consist of ten parts in accordance with the standard management workflow,  i.e. general principles, programming, formulation and revision, approval and promulgation, implementation, review, information management and disclosure, supervision, local drug standards and supplementary rules .",Drugs HS:30 - ICS: 11.120.10,11.120.10 - Medicaments,Protection of human health or safety (TBT),,,02/01/2018,Regular notification,30 - PHARMACEUTICAL PRODUCTS,,,,,,
China,03/11/2017, G/TBT/N/CHN/1222,Administrative Rules on the Recall of Defective Consumer Products,"This Administrative Rules specifythe scope, liability subject andresponsibilities of government authority and technical department of defective consumer products recallIt also stipulates the information management, defects investigation, operation and management of recall, legal liabilities of related bodies. It aims to further improve the administrative system of defective consumer products recall.","Consumer Products (not including those products that are regulated by specific laws and regulations, such as food, drugs, pesticides, tobacco products, urban rail vehicles, railway locomotives, civil aircraft, civil vessels, automobile products, special equipment, coal,etc.)",13.120 - Domestic safety,Protection of human health or safety (TBT),,,02/01/2018,Regular notification,,,,,,,
China,13/10/2017, G/TBT/N/CHN/1219,The Standard Achieving Management Catalogue for the Restriction of Hazardous Substances in Electrical Appliances and Electronic Products (The First Batch) (Draft),"According to the requirements of “ Rules on the Restriction of Hazardous Substances in Electrical Appliances and Electronic Products”, MIIT established “The Standard Achieving Management Catalogue for the Restriction of Hazardous Substances in Electrical Appliances and Electronic Products (The First Batch)” (Draft). This catalogue contains 12 kinds of products, and it specifies the scope and definition of products, and the description of application scope. ","Refrigerators, air conditioners, washing machines, electric water heaters, printers, copiers, fax machines, TVs, monitors, micro-computers, handheld phones for mobile communication, telephone sets. ICS: 31, 33, 35. HS: 84; 85.",31 - ELECTRONICS; 33 - TELECOMMUNICATIONS. AUDIO AND VIDEO ENGINEERING; 35 - INFORMATION TECHNOLOGY. OFFICE MACHINES,Protection of human health or safety (TBT); Protection of the environment (TBT),,,12/12/2017,Regular notification,"84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF; 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",,,,,,
China,13/10/2017, G/TBT/N/CHN/1220,Exemption List for the Restriction of Hazardous Substances of the Standard Achieving Management Catalogue,"According to the requirement of ""Rules on the Restriction of Hazardous Substances in Electrical Appliances and Electronic Products"", MIIT established ""The Standard Achieving Management Catalogue for the Restriction of Hazardous Substances in Electrical Appliances and Electronic Products (The First Batch)"" (Draft). As for the situations under which it is technically or economically infeasible, we learnt from experience of the EU RoHS and listed the ""Exemption List for the Restriction of Hazardous Substances of the Standard Achieving Management Catalogue"". ","Refrigerators, air conditioners, washing machines, electric water heaters, printers, copiers, fax machines, TVs, monitors, micro-computers, handheld phones for mobile communication, telephone sets. HS: 84; 85. ICS: 31; 33; 35.",31 - ELECTRONICS; 33 - TELECOMMUNICATIONS. AUDIO AND VIDEO ENGINEERING; 35 - INFORMATION TECHNOLOGY. OFFICE MACHINES,Protection of human health or safety (TBT); Protection of the environment (TBT),,,12/12/2017,Regular notification,"84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF; 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",,,,,,
China,13/10/2017, G/TBT/N/CHN/1218,Tentative Administrative Rules on the Recycling and Utilization of Traction Battery for New Energy Vehicle,"This document specifies the recycling and utilization requirements of the traction battery for new energy vehicles sold in ChinaIt specifies therequirements for the enterprises who sell new energy vehicles and traction battery in China with regard to fulfilling the extended producer responsibility (EPR), and meeting therequirements oftraction battery coding,traceability information management, standard recycling and comprehensive utilizationetcand it specifies the penaltiesfor non-compliance","New energy vehicles (Pure electric vehicle, Plug in hybrid electric vehicle, Fuel cell electric vehicle); Traction batteryICS: 43.080.01; 43.040; 43.120HS: 87.02; 87.03; 85076000.10; 85076000.20; 85078090.10",43.040 - Road vehicle systems; 43.080.01 - Commercial vehicles in general; 43.120 - Electric road vehicles,Protection of human health or safety (TBT); Protection of the environment (TBT),,,12/12/2017,Regular notification,"8703 - Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702); 8702 - Motor vehicles for the transport of >= 10 persons, incl. driver; 8507 - Electric accumulators, incl. separators therefor, whether or not rectangular or square; parts thereof (excl. spent and those of unhardened rubber or textiles)",,,,,,
China,25/09/2017, G/TBT/N/CHN/1216,Related Policies about Encouraging the Innovation of Drugs and Medical Devices and Reforming the Management of Clinical Trial (Draft),"These policies aim to encourage the innovation of drugs and medical devices and reform the management of clinical trial. The main content is as follows,  replacing the qualification accreditation of clinical trial institution by record management; supporting researchers and clinical trial institutions to carry out clinical trials; improving the Ethics Committee mechanism; increasing the efficiency of ethical review; optimizing the clinical trial review procedures; adopting overseas clinical trial data; and supporting extended clinical trials.",Drugs - Medical devices,11.040 - Medical equipment; 11.120 - Pharmaceutics,Protection of human health or safety (TBT),,,24/11/2017,Regular notification,,,,,,,
China,25/09/2017, G/TBT/N/CHN/1215,Related Policies about Encouraging the Innovation of Drugs and Medical Devices and Accelerating the Review and Approval for the Launching of New Drugs and Medical Devices (Draft),"These policies aim to encourage the innovation of drugs and medical devices and accelerate the review and approval for the launching of new drugs and medical devices.  The main content is as follows,  accelerating the review and approval of drugs and medical devices which are urgent for clinical use; supporting the research and development of drugs and medical equipment for rare diseases treatment; stricting the review and approval of injection; adjusting the management model of the pharmaceutical raw materials, excipients and packaging materials; improving the review system of drugs and medical devices; supporting the clinical application of new drugs; as well as  the inheritance and innovation of traditional Chinese medicine; establishing a preferential examination and approval system based on patent compulsory license etc.",Drugs - Medical devices,11.040 - Medical equipment; 11.120 - Pharmaceutics,Protection of human health or safety (TBT),,,24/11/2017,Regular notification,,,,,,,
China,25/09/2017, G/TBT/N/CHN/1209/Add.1,"The People’s Republic of China hereby notifies that the Measures for the Administration of Certificates Attached to Foods Exported to China (Draft) was notified in document G/TBT/N/CHN/1209 on 19 June 2017 by the People's Republic of China. The General Administration of Quality Supervision, Inspection and Quarantine of China is currently studying the comments from relevant countries/ regions. According to the comments and application received, we hereby decide to provide a transitional period of 2 years: from 1 October 2017 to 30 September 2019.WTO/TBT National Notification and Enquiry Center of the People's Republic of ChinaTel:  +86 10 84603881/84603950Fax:  +86 10 84603811E-mail:  tbt@aqsiq.gov.cn",,Food (Contains some of the 0308 HS code products) HS: 02；0302-0307；04；0504，0507-0511；0712-0713；0813；0902-0910；1210-1211；130213；1501-1503，1506；16；17；1801，1803-1806；19；2001-2009；2101-2106；22,"67.080 - Fruits. Vegetables; 67.080 - Fruits. Vegetables; 67.100 - Milk and milk products; 67.100 - Milk and milk products; 67.120 - Meat, meat products and other animal produce; 67.120 - Meat, meat products and other animal produce; 67.140 - Tea. Coffee. Cocoa; 67.140 - Tea. Coffee. Cocoa; 67.180 - Sugar. Sugar products. Starch; 67.180 - Sugar. Sugar products. Starch; 67.190 - Chocolate; 67.190 - Chocolate; 67.200 - Edible oils and fats. Oilseeds; 67.200 - Edible oils and fats. Oilseeds; 67.220 - Spices and condiments. Food additives; 67.220 - Spices and condiments. Food additives",Protection of human health or safety (TBT); Protection of the environment (TBT); Prevention of deceptive practices and consumer protection (TBT),Food standards,,,Addendum to Regular Notification,"0905 - Vanilla; 0909 - Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries; 1503 - Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excl. emulsified, mixed or otherwise prepared); 2006 - Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar ""drained, glacé or crystallized""; 2009 - Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter; 0510 - Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved; 0903 - Mate; 1804 - Cocoa butter, fat and oil; 2007 - Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter; 0303 - Frozen fish (excl. fish fillets and other fish meat of heading 0304); 0306 - Crustaceans, fit for human consumption, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, incl. crustaceans in shell cooked beforehand by steaming or by boiling in water; flours, meals and pellets of crustaceans, fit for human consumption; 0507 - Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared; powder and waste of these products (excl. cut to shape); 0508 - Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape; 0509 - Natural sponges of animal origin; 1211 - Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered; 1506 - Other animal fats and oils and their fractions, whether or not refined, but not chemically modified (excl. pig fat, poultry fat, fats of bovine animals, sheep and goats, fats of fish and other marine animals, lard stearin, lard oil, oloestearin, oleo-oil, tallow oil, wool grease and fatty substances derived therefrom); 16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES; 17 - SUGARS AND SUGAR CONFECTIONERY; 2101 - Extracts, essences and concentrates, of coffee, tea or mate and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof; 0305 - Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption; 0713 - Dried leguminous vegetables, shelled, whether or not skinned or split; 0904 - Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta; 2003 - Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid; 2004 - Vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles); 2008 - Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit (excl. prepared or preserved with vinegar, preserved with sugar but not laid in syrup, and jams, fruit jellies, marmalades, fruit purée and pastes, obtained by cooking); 2102 - Yeasts, active or inactive; other dead single-cell micro-organisms, prepared baking powders (excl. single-cell micro-organisms packaged as medicaments); 2106 - Food preparations, n.e.s.; 22 - BEVERAGES, SPIRITS AND VINEGAR; 0302 - Fish, fresh or chilled (excl. fish fillets and other fish meat of heading 0304); 0304 - Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen; 04 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 0712 - Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared; 0902 - Tea, whether or not flavoured; 130213 - Extracts of hops; 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS; 2005 - Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles); 2103 - Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard; 2105 - Ice cream and other edible ice, whether or not containing cocoa; 0307 - Molluscs, fit for human consumption, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, incl. aquatic invertebrates (other than crustaceans and molluscs); flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption; 0907 - Cloves, whole fruit, cloves and stems; 1210 - Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin; 1806 - Chocolate and other food preparations containing cocoa; 2104 - Soups and broths and preparations therefor; food preparations consisting of finely homogenized mixtures of two or more basic ingredients such as meat, fish, vegetables or fruit, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g; 0504 - Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked; 0813 - Dried apricots, prunes, apples, peaches, pears, papaws ""papayas"", tamarinds and other edible fruits, and mixtures of edible and dried fruits or of edible nuts (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, citrus fruit and grapes, unmixed); 0908 - Nutmeg, mace and cardamoms; 1501 - Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excl. lard stearin and lard oil); 1502 - Fats of bovine animals, sheep or goats (excl. lard stearin, lard oil, oleostearin, oleooil and tallow oil, not emulsified or mixed or otherwise prepared); 02 - MEAT AND EDIBLE MEAT OFFAL; 0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption; 0906 - Cinnamon and cinnamon-tree flowers; 0910 - Ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and other spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, cloves [wholefruit], clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries); 1801 - Cocoa beans, whole or broken, raw or roasted; 1803 - Cocoa paste, whether or not defatted; 1805 - Cocoa powder, not containing added sugar or other sweetening matter; 2001 - Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid; 2002 - Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid; 0302 - Fish, fresh or chilled (excl. fish fillets and other fish meat of heading 0304); 0304 - Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen; 04 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 0303 - Frozen fish (excl. fish fillets and other fish meat of heading 0304); 0306 - Crustaceans, fit for human consumption, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, incl. crustaceans in shell cooked beforehand by steaming or by boiling in water; flours, meals and pellets of crustaceans, fit for human consumption; 0507 - Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared; powder and waste of these products (excl. cut to shape); 0508 - Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape; 0509 - Natural sponges of animal origin; 0307 - Molluscs, fit for human consumption, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, incl. aquatic invertebrates (other than crustaceans and molluscs); flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption; 0907 - Cloves, whole fruit, cloves and stems; 1210 - Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin; 1806 - Chocolate and other food preparations containing cocoa; 2104 - Soups and broths and preparations therefor; food preparations consisting of finely homogenized mixtures of two or more basic ingredients such as meat, fish, vegetables or fruit, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g; 0305 - Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption; 0510 - Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved; 0903 - Mate; 1804 - Cocoa butter, fat and oil; 2007 - Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter; 0713 - Dried leguminous vegetables, shelled, whether or not skinned or split; 0904 - Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta; 2003 - Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid; 2004 - Vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles); 2008 - Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit (excl. prepared or preserved with vinegar, preserved with sugar but not laid in syrup, and jams, fruit jellies, marmalades, fruit purée and pastes, obtained by cooking); 2102 - Yeasts, active or inactive; other dead single-cell micro-organisms, prepared baking powders (excl. single-cell micro-organisms packaged as medicaments); 0712 - Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared; 0902 - Tea, whether or not flavoured; 130213 - Extracts of hops; 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS; 2005 - Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles); 2103 - Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard; 2105 - Ice cream and other edible ice, whether or not containing cocoa; 0504 - Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked; 0905 - Vanilla; 0909 - Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries; 1503 - Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excl. emulsified, mixed or otherwise prepared); 2006 - Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar ""drained, glacé or crystallized""; 2009 - Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter; 02 - MEAT AND EDIBLE MEAT OFFAL; 0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption; 0906 - Cinnamon and cinnamon-tree flowers; 0910 - Ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and other spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, cloves [wholefruit], clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries); 1801 - Cocoa beans, whole or broken, raw or roasted; 1803 - Cocoa paste, whether or not defatted; 1805 - Cocoa powder, not containing added sugar or other sweetening matter; 2001 - Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid; 2002 - Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid; 2106 - Food preparations, n.e.s.; 22 - BEVERAGES, SPIRITS AND VINEGAR; 0813 - Dried apricots, prunes, apples, peaches, pears, papaws ""papayas"", tamarinds and other edible fruits, and mixtures of edible and dried fruits or of edible nuts (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, citrus fruit and grapes, unmixed); 0908 - Nutmeg, mace and cardamoms; 1501 - Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excl. lard stearin and lard oil); 1502 - Fats of bovine animals, sheep or goats (excl. lard stearin, lard oil, oleostearin, oleooil and tallow oil, not emulsified or mixed or otherwise prepared); 1211 - Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered; 1506 - Other animal fats and oils and their fractions, whether or not refined, but not chemically modified (excl. pig fat, poultry fat, fats of bovine animals, sheep and goats, fats of fish and other marine animals, lard stearin, lard oil, oloestearin, oleo-oil, tallow oil, wool grease and fatty substances derived therefrom); 16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES; 17 - SUGARS AND SUGAR CONFECTIONERY; 2101 - Extracts, essences and concentrates, of coffee, tea or mate and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",,,,,,
